n	RL			XL		|ZL|	Phi		
71000	943.66052		4.776940464	-269.1071	-219.6158437	981.28172	-15.91675		8.329839372
72000	945.56868		4.584391524	-268.60528	-216.5656237	982.97962	-15.85812		8.229493183
73000	942.18663		4.925668012	-266.27118	-213.5989713	979.08937	-15.78081		8.187910911
74000	968.16607		2.304130172	-269.72865	-210.7124987	1005.03686	-15.5677		7.973726463
75000	950.95328		4.041041372	-262.28308	-207.9029987	986.46062	-15.41943		8.090746486
76000	944.19031		4.723480323	-259.98139	-205.1674329	979.32919	-15.39481		8.054976504
77000	952.6138		3.873481332	-259.11536	-202.5029208	987.22531	-15.21657		7.976938584
78000	956.17012		3.514619576	-256.92885	-199.9067295	990.08774	-15.04046		7.941684978
79000	966.20829		2.501686176	-259.4491	-197.3762646	1000.43605	-15.03067		7.764989483
80000	949.59043		4.178564077	-252.97318	-194.9090613	982.70922	-14.91728		7.864220186
81000	952.16497		3.918771948	-250.60381	-192.5027766	984.59148	-14.74548		7.840566513
82000	939.90076		5.156330979	-247.49527	-190.1551818	971.93999	-14.75228		7.842226399
83000	948.05513		4.333488396	-247.88686	-187.8641555	979.92674	-14.65302		7.735502539
84000	953.44582		3.789523713	-246.58249	-185.6276774	984.81565	-14.50026		7.683845286
85000	946.06917		4.533887992	-242.80538	-183.4438224	976.72991	-14.3941		7.711571693
86000	970.19415		2.099480323	-249.13621	-181.3107547	1001.67137	-14.40181		7.428221185
87000	947.75931		4.363339051	-241.14619	-179.226723	977.95664	-14.27533		7.586133382
88000	947.10852		4.429009082	-238.92222	-177.1900557	976.7796	-14.15831		7.569739218
89000	972.32506		1.884454087	-245.13546	-175.1991562	1002.74993	-14.15011		7.294977999
90000	970.97936		2.020246216	-243.32015	-173.2524989	1001.00231	-14.06819		7.267742752
91000	941.3285		5.012260343	-234.31985	-171.3486253	970.05419	-13.97824		7.463966107
92000	947.20669		4.419102926	-235.03061	-169.4861403	975.93027	-13.93537		7.360509483
93000	945.1289		4.62876892	-233.51842	-167.6637086	973.54995	-13.87844		7.328515986
94000	941.46871		4.998112008	-232.69872	-165.8800522	969.8	-13.8833		7.276093708
95000	947.37241		4.402380424	-232.24444	-164.1339464	975.42399	-13.77418		7.213585782
96000	944.15956		4.726583249	-229.92657	-162.4242177	971.7528	-13.68655		7.210406307
97000	947.86333		4.352842583	-229.16942	-160.7497413	975.17358	-13.59184		7.159649002
98000	953.78755		3.755040363	-229.39577	-159.1094378	980.98579	-13.52338		7.079598859
99000	943.59523		4.783528759	-226.39702	-157.5022718	970.37497	-13.49195		7.100913642
100000	951.0345		4.03284561	-227.4193	-155.927249	977.84772	-13.4485		6.99830415
